  1.5458E-01,  1.4190E+00,  2.8118E+04,  2.8058E+04,  2.7999E+04,  2.7906E+04,  2.7814E+04,  2.7801E+04,  2.7789E+04,  2.7661E+04,  2.7321E+04,  2.7039E+04,  2.6760E+04,  2.6126E+04,  2.5507E+04,  2.4575E+04,  2.3677E+04,  2.2755E+04,  1.9997E+04,  1.7209E+04,  1.5313E+04,  1.2708E+04,  1.1278E+04,  1.0009E+04,  8.9584E+03,  8.0204E+03,  5.7208E+03,  3.2966E+03,  1.8997E+03,  7.0772E+02,  2.6366E+02
  1.5794E-01,  1.4679E+00,  2.6321E+04,  2.6238E+04,  2.6156E+04,  2.6059E+04,  2.5963E+04,  2.5800E+04,  2.5639E+04,  2.5526E+04,  2.5125E+04,  2.4584E+04,  2.4055E+04,  2.3048E+04,  2.2083E+04,  2.0981E+04,  1.9935E+04,  1.9171E+04,  1.6818E+04,  1.3701E+04,  1.1909E+04,  1.0093E+04,  9.0010E+03,  8.0273E+03,  7.2640E+03,  6.4868E+03,  4.5676E+03,  2.5963E+03,  1.4757E+03,  5.2814E+02,  1.8901E+02
  1.6164E-01,  1.5261E+00,  2.4686E+04,  2.4627E+04,  2.4568E+04,  2.4447E+04,  2.4327E+04,  2.4158E+04,  2.3991E+04,  2.3897E+04,  2.3538E+04,  2.2927E+04,  2.2333E+04,  2.1158E+04,  2.0045E+04,  1.8758E+04,  1.7555E+04,  1.6425E+04,  1.3884E+04,  1.0840E+04,  8.8960E+03,  7.4552E+03,  6.5892E+03,  5.8237E+03,  5.2425E+03,  4.6154E+03,  3.1085E+03,  1.6558E+03,  8.8198E+02,  2.8057E+02,  8.9253E+01
  1.6560E-01,  1.5949E+00,  2.3602E+04,  2.3534E+04,  2.3466E+04,  2.3357E+04,  2.3248E+04,  2.3097E+04,  2.2947E+04,  2.2772E+04,  2.2372E+04,  2.1686E+04,  2.1021E+04,  1.9702E+04,  1.8467E+04,  1.7003E+04,  1.5654E+04,  1.4092E+04,  1.0872E+04,  7.8570E+03,  6.2489E+03,  4.9511E+03,  4.2484E+03,  3.6454E+03,  3.1589E+03,  2.6932E+03,  1.6604E+03,  7.7347E+02,  3.6030E+02,  8.9120E+01,  2.2043E+01
  1.6976E-01,  1.6755E+00,  2.3487E+04,  2.3412E+04,  2.3338E+04,  2.3165E+04,  2.2993E+04,  2.2792E+04,  2.2593E+04,  2.2389E+04,  2.1885E+04,  2.1008E+04,  2.0165E+04,  1.8400E+04,  1.6790E+04,  1.4710E+04,  1.2888E+04,  1.1234E+04,  7.4659E+03,  4.6820E+03,  3.4575E+03,  2.5573E+03,  2.1438E+03,  1.7971E+03,  1.5430E+03,  1.2927E+03,  7.4804E+02,  3.0754E+02,  1.2644E+02,  2.8678E+01,  6.5043E+00
  1.7409E-01,  1.7696E+00,  2.1855E+04,  2.1785E+04,  2.1716E+04,  2.1505E+04,  2.1296E+04,  2.1064E+04,  2.0834E+04,  2.0628E+04,  2.0047E+04,  1.9072E+04,  1.8145E+04,  1.6138E+04,  1.4352E+04,  1.2317E+04,  1.0570E+04,  8.8671E+03,  5.3303E+03,  2.9996E+03,  2.0810E+03,  1.3880E+03,  1.0906E+03,  8.5698E+02,  6.8366E+02,  5.4271E+02,  2.7435E+02,  9.3335E+01,  3.1753E+01,  3.6751E+00,  0.0000E+00
  1.7856E-01,  1.8795E+00,  3.3780E+04,  3.3323E+04,  3.2872E+04,  3.1818E+04,  3.0799E+04,  2.9818E+04,  2.8869E+04,  2.8015E+04,  2.5759E+04,  2.3148E+04,  2.0801E+04,  1.6581E+04,  1.3218E+04,  1.0229E+04,  7.9165E+03,  6.3302E+03,  3.6220E+03,  1.9575E+03,  1.2785E+03,  7.2506E+02,  5.0787E+02,  3.5573E+02,  2.6568E+02,  1.9852E+02,  8.5747E+01,  2.6017E+01,  7.8938E+00,  0.0000E+00,  0.0000E+00
  1.8317E-01,  2.0066E+00,  6.7417E+04,  6.6136E+04,  6.4880E+04,  6.2784E+04,  6.0756E+04,  5.8894E+04,  5.7088E+04,  5.5567E+04,  5.1157E+04,  4.3309E+04,  3.6665E+04,  2.5352E+04,  1.7530E+04,  1.2176E+04,  8.4575E+03,  6.1605E+03,  2.8116E+03,  1.2928E+03,  7.5241E+02,  3.7910E+02,  2.3892E+02,  1.5058E+02,  1.0534E+02,  7.6980E+01,  3.2262E+01,  1.0460E+01,  3.3913E+00,  0.0000E+00,  0.0000E+00
  1.8790E-01,  2.1545E+00,  1.3599E+05,  1.2754E+05,  1.1962E+05,  1.0898E+05,  9.9279E+04,  9.1946E+04,  8.5154E+04,  8.0085E+04,  6.6568E+04,  4.9570E+04,  3.6913E+04,  2.2351E+04,  1.3534E+04,  9.1529E+03,  6.1900E+03,  4.4981E+03,  1.9217E+03,  7.3229E+02,  3.6873E+02,  1.3692E+02,  7.4696E+01,  4.0750E+01,  2.6035E+01,  1.8092E+01,  6.7169E+00,  1.4014E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9276E-01,  2.3275E+00,  2.2299E+05,  2.0359E+05,  1.8588E+05,  1.5788E+05,  1.3410E+05,  1.1719E+05,  1.0240E+05,  9.1478E+04,  6.6390E+04,  4.1909E+04,  2.6456E+04,  1.3863E+04,  7.2642E+03,  4.7245E+03,  3.0728E+03,  2.1950E+03,  8.6653E+02,  2.9014E+02,  1.3367E+02,  4.4794E+01,  2.1739E+01,  1.0550E+01,  6.1446E+00,  3.5843E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9776E-01,  2.5305E+00,  4.3038E+05,  3.8430E+05,  3.4315E+05,  2.7462E+05,  2.1978E+05,  1.8291E+05,  1.5222E+05,  1.2840E+05,  7.9048E+04,  4.0744E+04,  2.1000E+04,  8.8307E+03,  3.7133E+03,  2.1810E+03,  1.2810E+03,  8.6545E+02,  3.1902E+02,  9.3565E+01,  3.7855E+01,  1.0438E+01,  4.5284E+00,  1.9646E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0290E-01,  2.7701E+00,  7.7090E+05,  6.5396E+05,  5.5476E+05,  4.0251E+05,  2.9205E+05,  2.1908E+05,  1.6435E+05,  1.2942E+05,  6.6197E+04,  2.7220E+04,  1.1192E+04,  4.0040E+03,  1.4324E+03,  7.1982E+02,  3.6173E+02,  2.2781E+02,  6.8759E+01,  1.6962E+01,  5.7833E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0817E-01,  3.0549E+00,  1.8943E+06,  1.4278E+06,  1.0762E+06,  6.3675E+05,  3.7673E+05,  2.4284E+05,  1.5654E+05,  1.0870E+05,  3.9598E+04,  1.2154E+04,  3.7303E+03,  9.5244E+02,  2.4318E+02,  9.8466E+01,  3.9870E+01,  2.1067E+01,  4.1664E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1357E-01,  3.3963E+00,  3.2286E+06,  2.0367E+06,  1.2848E+06,  6.7451E+05,  3.5411E+05,  2.0996E+05,  1.2449E+05,  8.0477E+04,  2.4435E+04,  5.7121E+03,  1.3353E+03,  2.4571E+02,  4.5213E+01,  1.5956E+01,  5.6313E+00,  2.8471E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1909E-01,  3.8109E+00,  1.9058E+06,  1.2609E+06,  8.3425E+05,  4.2236E+05,  2.1383E+05,  1.1792E+05,  6.5031E+04,  3.9941E+04,  9.9587E+03,  1.7973E+03,  3.2438E+02,  3.7506E+01,  4.3367E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2470E-01,  4.3193E+00,  8.7699E+05,  5.4861E+05,  3.4319E+05,  1.4813E+05,  6.3935E+04,  3.0449E+04,  1.4502E+04,  7.7479E+03,  1.3172E+03,  1.4378E+02,  1.5695E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3036E-01,  4.9515E+00,  6.7977E+05,  3.0636E+05,  1.3807E+05,  4.3023E+04,  1.3405E+04,  4.3592E+03,  1.4175E+03,  4.6021E+02,  2.3591E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3603E-01,  5.7515E+00,  2.7491E+05,  1.1623E+05,  4.9141E+04,  1.0616E+04,  2.2935E+03,  4.6605E+02,  9.4706E+01,  2.2368E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4166E-01,  6.7819E+00,  5.2612E+03,  2.2447E+03,  9.5770E+02,  1.4301E+02,  2.1356E+01,  3.1891E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4719E-01,  8.1357E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5255E-01,  9.9544E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5768E-01,  1.2455E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6252E-01,  1.5970E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6699E-01,  2.0993E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7103E-01,  2.8144E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7459E-01, -4.0000E+00, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20
  2.7761E-01, -4.0000E+00, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20
  2.8006E-01, -4.0000E+00, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20
  2.8190E-01, -4.0000E+00, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20
  2.8310E-01, -4.0000E+00, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20, -1.0000E+20
  2.8366E-01,  3.2400E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8355E-01,  2.3840E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8280E-01,  1.7749E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8140E-01,  1.3525E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7936E-01,  1.0572E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7672E-01,  8.4647E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7349E-01,  6.9280E+00,  4.1894E+02,  1.8523E+02,  8.1902E+01,  1.6293E+01,  3.2411E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6971E-01,  5.7800E+00,  1.3002E+05,  5.2728E+04,  2.1383E+04,  4.0977E+03,  7.8527E+02,  1.5897E+02,  3.2183E+01,  8.1670E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6540E-01,  4.9053E+00,  2.4841E+05,  1.1760E+05,  5.5670E+04,  1.9155E+04,  6.5910E+03,  2.1836E+03,  7.2341E+02,  2.6964E+02,  1.9938E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6059E-01,  4.2264E+00,  4.4240E+05,  2.9166E+05,  1.9228E+05,  9.0098E+04,  4.2219E+04,  2.1054E+04,  1.0499E+04,  6.0176E+03,  1.1330E+03,  1.3196E+02,  1.5369E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5532E-01,  3.6910E+00,  1.1798E+06,  7.7262E+05,  5.0597E+05,  2.5919E+05,  1.3277E+05,  7.6420E+04,  4.3986E+04,  2.8141E+04,  7.7781E+03,  1.5728E+03,  3.1803E+02,  4.2945E+01,  5.7989E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4962E-01,  3.2617E+00,  9.6582E+05,  6.3600E+05,  4.1882E+05,  2.1254E+05,  1.0786E+05,  6.2359E+04,  3.6052E+04,  2.3078E+04,  6.7518E+03,  1.8925E+03,  5.3046E+02,  1.1744E+02,  2.5998E+01,  1.0261E+01,  4.0495E+00,  1.5982E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4354E-01,  2.9138E+00,  3.8521E+05,  3.1939E+05,  2.6481E+05,  1.8156E+05,  1.2448E+05,  8.7171E+04,  6.1045E+04,  4.5691E+04,  1.9540E+04,  6.8668E+03,  2.4131E+03,  7.7225E+02,  2.4714E+02,  1.1578E+02,  5.4244E+01,  3.3170E+01,  8.8662E+00,  1.9055E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3711E-01,  2.6291E+00,  2.1679E+05,  1.8874E+05,  1.6432E+05,  1.2823E+05,  1.0007E+05,  8.0903E+04,  6.5410E+04,  5.3081E+04,  2.9868E+04,  1.4926E+04,  7.4590E+03,  2.9592E+03,  1.1740E+03,  6.5033E+02,  3.6025E+02,  2.3557E+02,  8.2141E+01,  2.3571E+01,  8.3678E+00,  2.1760E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3037E-01,  2.3938E+00,  9.9546E+04,  9.0544E+04,  8.2357E+04,  6.9906E+04,  5.9338E+04,  5.1913E+04,  4.5418E+04,  4.0336E+04,  2.9180E+04,  1.8944E+04,  1.2299E+04,  6.0998E+03,  3.0252E+03,  1.8984E+03,  1.1913E+03,  8.5172E+02,  3.4670E+02,  1.2208E+02,  5.2512E+01,  1.7238E+01,  7.9357E+00,  3.6533E+00,  2.0265E+00,  1.1240E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2338E-01,  2.1978E+00,  7.1860E+04,  6.4890E+04,  5.8595E+04,  5.1369E+04,  4.5035E+04,  4.1248E+04,  3.7779E+04,  3.5477E+04,  2.9538E+04,  2.1611E+04,  1.5811E+04,  9.4160E+03,  5.6074E+03,  3.8125E+03,  2.5921E+03,  1.8650E+03,  7.9603E+02,  2.8974E+02,  1.4683E+02,  5.2587E+01,  2.7283E+01,  1.4155E+01,  8.6546E+00,  5.7527E+00,  2.0584E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1620E-01,  2.0336E+00,  3.3455E+04,  3.2763E+04,  3.2085E+04,  3.0949E+04,  2.9853E+04,  2.8690E+04,  2.7572E+04,  2.6568E+04,  2.3825E+04,  1.9955E+04,  1.6714E+04,  1.1166E+04,  7.4593E+03,  5.1084E+03,  3.4985E+03,  2.6236E+03,  1.2486E+03,  5.6336E+02,  3.2876E+02,  1.5271E+02,  9.4794E+01,  5.8843E+01,  4.0322E+01,  2.9272E+01,  1.1999E+01,  2.8744E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0889E-01,  1.8955E+00,  1.2520E+04,  1.2321E+04,  1.2125E+04,  1.1719E+04,  1.1327E+04,  1.0952E+04,  1.0590E+04,  1.0246E+04,  9.4462E+03,  8.4189E+03,  7.5033E+03,  5.9071E+03,  4.6505E+03,  3.6752E+03,  2.9044E+03,  2.3965E+03,  1.4943E+03,  8.9744E+02,  6.2076E+02,  3.7286E+02,  2.5673E+02,  1.7677E+02,  1.3172E+02,  9.4864E+01,  3.8517E+01,  1.0444E+01,  2.8317E+00,  0.0000E+00,  0.0000E+00
  2.0151E-01,  1.7789E+00,  6.6005E+03,  6.5738E+03,  6.5473E+03,  6.4962E+03,  6.4455E+03,  6.3944E+03,  6.3437E+03,  6.2970E+03,  6.1607E+03,  5.9472E+03,  5.7410E+03,  5.1466E+03,  4.6137E+03,  4.0845E+03,  3.6161E+03,  3.1564E+03,  2.1369E+03,  1.3677E+03,  1.0203E+03,  7.1341E+02,  5.6758E+02,  4.5156E+02,  3.5170E+02,  2.7166E+02,  1.2595E+02,  3.4296E+01,  9.3389E+00,  0.0000E+00,  0.0000E+00
  1.9416E-01,  1.6804E+00,  8.1167E+03,  8.0786E+03,  8.0406E+03,  7.9784E+03,  7.9166E+03,  7.8451E+03,  7.7741E+03,  7.7111E+03,  7.5112E+03,  7.2192E+03,  6.9385E+03,  6.4286E+03,  5.9562E+03,  5.3921E+03,  4.8814E+03,  4.3793E+03,  3.2037E+03,  2.2253E+03,  1.7723E+03,  1.3717E+03,  1.1779E+03,  1.0114E+03,  8.6713E+02,  7.2110E+02,  3.9780E+02,  1.4803E+02,  5.5085E+01,  1.0709E+01,  2.0818E+00
